"LocCode","UnitCode","VegType","Panel_type","Origin","Year","SegLenM","TransectLenM","pCoverEpsilon","WYear","pCoveru","pCoverl","pCovera"
"AC.1-18","AC","H","Annual","E",2008,507.79,582.55,87.17,1,87.17,1.91607405639594,1.20446790044689
"AC.1-18","AC","H","Annual","E",2009,328.46,516.97,63.54,2,63.54,0.555453859590853,0.922510156479884
"AC.1-18","AC","H","Annual","E",2012,318.15,457.98,69.47,5,69.47,0.822185197958003,0.985388206276501
"AC.1-18","AC","H","Annual","E",2013,332.54,468.55,70.97,6,70.97,0.893927474500353,1.00179030423365
"AC.1-18","AC","H","Annual","E",2015,191.83,427.71,44.85,8,44.85,-0.206733157194706,0.733806665321106
"AC.1-19","AC","H","Annual","E",2008,817.85,1052.24,77.72,1,77.72,1.24942320945016,1.07921909137666
"AC.1-19","AC","H","Annual","E",2009,819,1047,78.22,2,78.22,1.27853325182255,1.08525128433906
"AC.1-19","AC","H","Annual","E",2012,933.98,1035.32,90.21,5,90.21,2.22077882912613,1.25256228917377
"AC.1-19","AC","H","Annual","E",2013,900.67,1025.93,87.79,6,87.79,1.9726923108155,1.21383566437056
"AC.1-19","AC","H","Annual","E",2014,841.03,1020.15,82.44,7,82.44,1.54644716781529,1.13840137187732
"AC.1-19","AC","H","Annual","E",2015,898.18,1019.39,88.11,8,88.11,2.00288832317595,1.21875059524828
"AC.1-2","AC","H","Annual","E",2007,683.93,786.38,86.97,0,86.97,1.89830884046492,1.20148753539168
"AC.1-2","AC","H","Annual","E",2008,766.93,791.19,96.93,1,96.93,3.45231150690541,1.39467304320649
"AC.1-2","AC","H","Annual","E",2009,674.51,762.27,88.49,2,88.49,2.03967332854547,1.22466203983101
"AC.1-2","AC","H","Annual","E",2012,676.04,744.01,90.86,5,90.86,2.2966594748652,1.26366617711626
"AC.1-2","AC","H","Annual","E",2013,665.36,754.87,88.14,6,88.14,2.00575506584426,1.21921428229654
"AC.1-2","AC","H","Annual","E",2014,592.34,692.32,85.56,7,85.56,1.77921575074952,1.18100003032064
"AC.1-2","AC","H","Annual","E",2015,543.1,692.75,78.4,8,78.4,1.28913061266624,1.08743504458294
"AC.1-20","AC","H","Annual","E",2008,436.83,439.38,99.42,1,99.42,5.1440804761082,1.49456478378429
"AC.1-20","AC","H","Annual","E",2009,407.9,437.48,93.24,2,93.24,2.62415392411268,1.30777412388643
"AC.1-20","AC","H","Annual","E",2012,394.97,430.91,91.66,5,91.66,2.39702286271032,1.27783297244745
"AC.1-20","AC","H","Annual","E",2013,431.5,442.09,97.6,6,97.6,3.70540875606514,1.41525052589892
"AC.1-20","AC","H","Annual","E",2014,398.92,440.13,90.64,7,90.64,2.27045032623025,1.25986948187898
"AC.1-20","AC","H","Annual","E",2015,365.32,397.93,91.81,8,91.81,2.41680732629063,1.28055678075384
"AC.1-3","AC","H","Annual","E",2007,240.25,321.08,74.83,0,74.83,1.08956606494504,1.04523677495879
"AC.1-3","AC","H","Annual","E",2008,310.74,324.22,95.84,1,95.84,3.13716506009397,1.3653942710405
"AC.1-3","AC","H","Annual","E",2009,281.37,323.37,87.01,2,87.01,1.90184322389543,1.2020820421559
"AC.1-3","AC","H","Annual","E",2012,317.55,327.9,96.84,5,96.84,3.42248810447104,1.39208264628349
"AC.1-3","AC","H","Annual","E",2013,266.18,326.62,81.5,6,81.5,1.48283228816254,1.12617476917901
"AC.1-3","AC","H","Annual","E",2014,294.94,319.12,92.42,7,92.42,2.50083020578784,1.29187585845842
"AC.1-3","AC","H","Annual","E",2015,295.55,324.44,91.1,8,91.1,2.32590652752782,1.26785521298718
"AC.1-4","AC","H","Annual","E",2007,458.14,504.47,90.82,0,90.82,2.29185232103741,1.26297284081375
"AC.1-4","AC","H","Annual","E",2008,432,506.85,85.23,1,85.23,1.75275538799092,1.17632781032308
"AC.1-4","AC","H","Annual","E",2009,420.59,507.63,82.85,2,82.85,1.57503357026062,1.14381439781995
"AC.1-4","AC","H","Annual","E",2012,303.5,439.93,68.99,5,68.99,0.79965183344566,0.980188206747299
"AC.1-4","AC","H","Annual","E",2013,313.06,469.2,66.72,6,66.72,0.695548142097483,0.955882416852609
"AC.1-4","AC","H","Annual","E",2014,278.79,419.48,66.46,7,66.46,0.683861506531385,0.953126276301333
"AC.1-4","AC","H","Annual","E",2015,304.17,415.36,73.23,8,73.23,1.00632331554072,1.02698958640321
"AC.1-5","AC","H","Annual","E",2007,445.95,637.73,69.93,0,69.93,0.843966744715338,0.990393077936747
"AC.1-5","AC","H","Annual","E",2008,370.27,635.84,58.23,1,58.23,0.332222307339945,0.868074396543137
"AC.1-5","AC","H","Annual","E",2009,458.67,622,73.74,2,73.74,1.03249852393135,1.03276654802666
"AC.1-5","AC","H","Annual","E",2012,483.6,624.1,77.49,5,77.49,1.23618924085722,1.07646055490279
"AC.1-5","AC","H","Annual","E",2013,592.61,631.97,93.77,6,93.77,2.71146864263217,1.31852949884668
"AC.1-5","AC","H","Annual","E",2014,440.97,623.25,70.75,7,70.75,0.883272962845481,0.999369564884201
"AC.1-5","AC","H","Annual","E",2015,478.21,617.6,77.43,8,77.43,1.23275271156919,1.07574258599333
"AC.1-6","AC","H","Annual","E",2008,513.9,539.1,95.33,1,95.33,3.01618548482468,1.35297614440482
"AC.1-6","AC","H","Annual","E",2009,344.62,516.05,66.78,2,66.78,0.69825153033036,0.956519212132117
"AC.1-6","AC","H","Annual","E",2012,339.38,450.09,75.4,5,75.4,1.12006083207559,1.0518288027757
"AC.1-6","AC","H","Annual","E",2013,331.46,458.97,72.22,6,72.22,0.955400678523114,1.01565035259649
"AC.1-6","AC","H","Annual","E",2015,343.41,456.12,75.29,8,75.29,1.11413930386151,1.05055270718633
"AC.1-7","AC","H","Annual","E",2008,1035.3,1086.7,95.27,1,95.27,3.00278976321485,1.35155862824073
"AC.1-7","AC","H","Annual","E",2009,892.76,1088.95,81.98,2,81.98,1.514993062896,1.13238706300273
"AC.1-7","AC","H","Annual","E",2012,997.34,1069.25,93.27,5,93.27,2.62892336908213,1.30837221104215
"AC.1-7","AC","H","Annual","E",2013,924.44,1073.35,86.13,6,86.13,1.82612954847434,1.18917625110185
"AC.1-7","AC","H","Annual","E",2014,881.39,1048.52,84.06,7,84.06,1.6626991562149,1.16009842017103
"AC.1-7","AC","H","Annual","E",2015,946.68,1061.72,89.16,8,89.16,2.10718951250617,1.23529609512832
"AC.1-8","AC","H","Annual","E",2008,329.15,387.62,84.92,1,84.92,1.72834027425525,1.17197791405909
"AC.1-8","AC","H","Annual","E",2009,323.67,386.96,83.64,2,83.64,1.63168254338583,1.15439165713951
"AC.1-8","AC","H","Annual","E",2012,342.91,389.88,87.95,5,87.95,1.9877038112469,1.21628608964004
"AC.1-8","AC","H","Annual","E",2013,317.11,389.54,81.41,6,81.41,1.47687431385253,1.1250169506149
"AC.1-8","AC","H","Annual","E",2014,322.93,391.63,82.46,7,82.46,1.54782934033472,1.13866425707053
"AC.1-8","AC","H","Annual","E",2015,297.46,352.27,84.44,8,84.44,1.69133770422987,1.16531439586866
"AC.1-9","AC","H","Annual","E",2008,1018.92,1098.13,92.79,1,92.79,2.55486992406823,1.29894583238202
"AC.1-9","AC","H","Annual","E",2009,971,1068,90.92,2,90.92,2.30390580637114,1.26470874554598
"AC.1-9","AC","H","Annual","E",2012,929.63,1025.77,90.63,5,90.63,2.26927218781636,1.25969786177589
"AC.1-9","AC","H","Annual","E",2013,1001.39,1101.14,90.94,6,90.94,2.30633082834198,1.26505695681602
"AC.1-9","AC","H","Annual","E",2014,887.29,1018.12,87.15,7,87.15,1.9142869606248,1.20416897773903
"AC.1-9","AC","H","Annual","E",2015,927.48,1006.4,92.16,8,92.16,2.46428736258526,1.28700221758657
"AC.2-1","AC","H","Alternating","E",2007,325.62,415.69,78.33,0,78.33,1.28500185583088,1.08658502554574
"AC.2-1","AC","H","Alternating","E",2014,340.54,402.91,84.52,7,84.52,1.69743932458627,1.16641907845708
"AC.2-2","AC","H","Alternating","E",2007,421,578.57,72.77,0,72.77,0.982984475673327,1.0218088913343
"AC.2-2","AC","H","Alternating","E",2014,325.49,526.74,61.79,7,61.79,0.48064427761408,0.904419013037607
"AC.2-3","AC","H","Alternating","E",2007,798.99,854.71,93.48,0,93.48,2.6628731337321,1.31259397659208
"AC.2-3","AC","H","Alternating","E",2014,869.92,881.66,98.67,7,98.67,4.30660200663541,1.4552135201579
"AC.2-4","AC","H","Alternating","E",2007,234.48,345.96,67.78,0,67.78,0.743679788430077,0.967176137670538
"AC.2-4","AC","H","Alternating","E",2014,280.04,323.78,86.49,7,86.49,1.85659864834631,1.19441284447717
"AC.2-5","AC","H","Alternating","E",2007,967.82,1083.24,89.34,0,89.34,2.12595089718627,1.23820170779261
"AC.2-5","AC","H","Alternating","E",2014,919.21,988.51,92.99,7,92.99,2.58515425944361,1.30283709885933
"AC.3-1","AC","H","Alternating","E",2008,936.88,1089.73,85.97,1,85.97,1.81280050407198,1.1868672237087
"AC.3-1","AC","H","Alternating","E",2015,961.84,1001.37,96.05,8,96.05,3.19115331030153,1.3707180270556
"AC.3-2","AC","H","Alternating","E",2008,189.54,213.39,88.82,1,88.82,2.072485382137,1.22986488341014
"AC.3-2","AC","H","Alternating","E",2009,159.13,215.7,73.77,2,73.77,1.03404835101743,1.03310748354863
"AC.3-2","AC","H","Alternating","E",2015,181.33,205.89,88.07,8,88.07,1.99907571670754,1.21813313222928
"AC.3-4","AC","H","Alternating","E",2008,884.42,906.07,97.61,1,97.61,3.70968658124345,1.41557755126872
"AC.3-4","AC","H","Alternating","E",2015,850.82,877.1,97,8,97,3.47609868983527,1.39671331615842
"AC.3-5","AC","H","Alternating","E",2008,254.05,261.05,97.32,1,97.32,3.59218772339255,1.40634908464344
"AC.3-5","AC","H","Alternating","E",2009,247.79,256.39,96.65,2,96.65,3.36213585981737,1.3867286370435
"AC.3-5","AC","H","Alternating","E",2015,251.1,267.29,93.94,8,93.94,2.74094648051763,1.32206897714535
"AC.1-1","AC","S","Annual","E",2007,0,0,0.61,0,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2008,0,0,0.61,1,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2009,0,0,0.61,2,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2012,0,42.11,0.61,5,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2013,0,0,0.61,6,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2014,0,0,0.61,7,0,-5.09334782679469,0
"AC.1-1","AC","S","Annual","E",2015,0,0,0.61,8,0,-5.09334782679469,0
"AC.1-10","AC","S","Annual","E",2008,13.47,35.11,38.37,1,38.37,-0.473872860715291,0.668023086104122
"AC.1-10","AC","S","Annual","E",2009,16.17,49.05,32.97,2,32.97,-0.709542223286227,0.61162067325461
"AC.1-10","AC","S","Annual","E",2012,20.3,75.77,26.79,5,26.79,-1.00530334010203,0.544032569467969
"AC.1-10","AC","S","Annual","E",2013,22.31,70.73,31.54,6,31.54,-0.774993051567147,0.596324135087581
"AC.1-10","AC","S","Annual","E",2014,19.67,83.07,23.68,7,23.68,-1.17030421712423,0.508217725896447
"AC.1-10","AC","S","Annual","E",2015,22.93,91.29,25.12,8,25.12,-1.09222249056934,0.524983311269179
"AC.1-11","AC","S","Annual","E",2008,4.51,4.51,99.39,1,100,5.0933478267947,1.5707963267949
"AC.1-11","AC","S","Annual","E",2009,0,0,0.61,2,0,-5.09334782679469,0
"AC.1-11","AC","S","Annual","E",2012,0,0,0.61,5,0,-5.09334782679469,0
"AC.1-11","AC","S","Annual","E",2013,0,7.67,0.61,6,0,-5.09334782679469,0
"AC.1-11","AC","S","Annual","E",2014,2.42,7.1,34.08,7,34.08,-0.659731183640101,0.623377580122829
"AC.1-11","AC","S","Annual","E",2015,0,2.88,0.61,8,0,-5.09334782679469,0
"AC.1-12","AC","S","Annual","E",2008,9.37,428.92,2.18,1,2.18,-3.80380417831021,0.148190017784593
"AC.1-12","AC","S","Annual","E",2009,8.38,277.6,3.02,2,3.02,-3.46924794029043,0.174668277397395
"AC.1-12","AC","S","Annual","E",2012,10.42,344.91,3.02,5,3.02,-3.46924794029043,0.174668277397395
"AC.1-12","AC","S","Annual","E",2013,10.41,501,2.08,6,2.08,-3.85178292505079,0.144726759284822
"AC.1-12","AC","S","Annual","E",2015,15.91,363.5,4.38,8,4.38,-3.0833332788096,0.210843193920311
"AC.1-13","AC","S","Annual","E",2008,0,149.95,0.61,1,0,-5.09334782679469,0
"AC.1-13","AC","S","Annual","E",2009,5.31,220.64,2.41,2,2.41,-3.70114828165081,0.155872162388595
"AC.1-13","AC","S","Annual","E",2012,12.49,304.07,4.11,5,4.11,-3.14977867265745,0.204146389726788
"AC.1-13","AC","S","Annual","E",2013,4.57,248.53,1.84,6,1.84,-3.97683322878176,0.13606606510918
"AC.1-13","AC","S","Annual","E",2014,5.95,260.83,2.28,7,2.28,-3.75793080342319,0.151576444338099
"AC.1-13","AC","S","Annual","E",2015,13.02,294.03,4.43,8,4.43,-3.07145937922104,0.21206148527433
"AC.1-14","AC","S","Annual","E",2008,1.68,1.68,99.39,1,100,5.0933478267947,1.5707963267949
"AC.1-14","AC","S","Annual","E",2009,0,45,0.61,2,0,-5.09334782679469,0
"AC.1-14","AC","S","Annual","E",2012,21.93,28.85,76.01,5,76.01,1.15322783372635,1.05894072031816
"AC.1-14","AC","S","Annual","E",2013,0,1.82,0.61,6,0,-5.09334782679469,0
"AC.1-14","AC","S","Annual","E",2014,0,16.38,0.61,7,0,-5.09334782679469,0
"AC.1-14","AC","S","Annual","E",2015,17.88,24.19,73.91,8,73.91,1.04129603764816,1.03470018241837
"AC.1-15","AC","S","Annual","E",2008,53.44,148.66,35.95,1,35.95,-0.577534944175687,0.642980196222002
"AC.1-15","AC","S","Annual","E",2009,40.01,120.49,33.21,2,33.21,-0.698702333348889,0.614170954051168
"AC.1-15","AC","S","Annual","E",2012,51.31,190.47,26.94,5,26.94,-0.997668850384918,0.545724589828263
"AC.1-15","AC","S","Annual","E",2013,31.36,179.15,17.5,6,17.5,-1.55059741241117,0.431605945034771
"AC.1-15","AC","S","Annual","E",2015,56.81,200.84,28.29,8,28.29,-0.930121822581008,0.560823161751777
"AC.1-16","AC","S","Annual","E",2008,0,97.93,0.61,1,0,-5.09334782679469,0
"AC.1-16","AC","S","Annual","E",2009,2.52,108.86,2.31,2,2.31,-3.74455167513115,0.152578158476737
"AC.1-16","AC","S","Annual","E",2012,4.05,118.5,3.42,5,3.42,-3.34073112937088,0.186003095846099
"AC.1-16","AC","S","Annual","E",2013,0,112.31,0.61,6,0,-5.09334782679469,0
"AC.1-16","AC","S","Annual","E",2014,5.85,128.49,4.55,7,4.55,-3.0434753172089,0.214958916055738
"AC.1-16","AC","S","Annual","E",2015,3.86,126.33,3.06,8,3.06,-3.45567731445294,0.175833205717504
"AC.1-17","AC","S","Annual","E",2008,29.92,29.92,99.39,1,100,5.0933478267947,1.5707963267949
"AC.1-17","AC","S","Annual","E",2009,33.18,33.18,99.39,2,100,5.0933478267947,1.5707963267949
"AC.1-17","AC","S","Annual","E",2012,19.79,19.79,99.39,5,100,5.0933478267947,1.5707963267949
"AC.1-17","AC","S","Annual","E",2013,30.31,39.6,76.54,6,76.54,1.18251663677223,1.06517028470919
"AC.1-17","AC","S","Annual","E",2014,32.34,39.73,81.4,7,81.4,1.47621369228934,1.12488843781779
"AC.1-17","AC","S","Annual","E",2015,23.55,23.55,99.39,8,100,5.0933478267947,1.5707963267949
"AC.1-18","AC","S","Annual","E",2008,2.71,235.71,1.15,1,1.15,-4.45384160724147,0.107444663555085
"AC.1-18","AC","S","Annual","E",2009,5.09,262.23,1.94,2,1.94,-3.92289156314785,0.139738211567294
"AC.1-18","AC","S","Annual","E",2012,3.41,204.39,1.67,5,1.67,-4.0755055423634,0.129590895987229
"AC.1-18","AC","S","Annual","E",2013,6.8,290.7,2.34,6,2.34,-3.7313411292639,0.15357354165168
"AC.1-18","AC","S","Annual","E",2015,10.59,363.15,2.92,8,2.92,-3.50395176457821,0.171722812496577
"AC.1-19","AC","S","Annual","E",2008,0,36.36,0.61,1,0,-5.09334782679469,0
"AC.1-19","AC","S","Annual","E",2009,0,37,0.61,2,0,-5.09334782679469,0
"AC.1-19","AC","S","Annual","E",2012,0,43.12,0.61,5,0,-5.09334782679469,0
"AC.1-19","AC","S","Annual","E",2013,2.12,50.44,4.2,6,4.2,-3.12717815968749,0.206401399688167
"AC.1-19","AC","S","Annual","E",2014,2.76,76.99,3.58,7,3.58,-3.29335084856487,0.190356410184236
"AC.1-19","AC","S","Annual","E",2015,7.2,84.8,8.49,8,8.49,-2.37755925560403,0.295664985857844
"AC.1-2","AC","S","Annual","E",2007,0,72.25,0.61,0,0,-5.09334782679469,0
"AC.1-2","AC","S","Annual","E",2008,5.58,126.18,4.42,1,4.42,-3.07382389706041,0.211818353745598
"AC.1-2","AC","S","Annual","E",2009,10.81,96.32,11.22,2,11.22,-2.06846349931134,0.341565626482097
"AC.1-2","AC","S","Annual","E",2012,10.35,110.61,9.36,5,9.36,-2.27045032623025,0.310926844915914
"AC.1-2","AC","S","Annual","E",2013,9.27,105.08,8.82,6,8.82,-2.3358137047666,0.301533480082366
"AC.1-2","AC","S","Annual","E",2014,27.67,146.98,18.83,7,18.83,-1.46109437810402,0.448856378327173
"AC.1-2","AC","S","Annual","E",2015,23.1,132.7,17.41,8,17.41,-1.55684385404253,0.430420428740901
"AC.1-20","AC","S","Annual","E",2008,2.2,2.2,99.39,1,100,5.0933478267947,1.5707963267949
"AC.1-20","AC","S","Annual","E",2009,5.81,5.81,99.39,2,100,5.0933478267947,1.5707963267949
"AC.1-20","AC","S","Annual","E",2012,8.37,8.37,99.39,5,100,5.0933478267947,1.5707963267949
"AC.1-20","AC","S","Annual","E",2013,0,0,0.61,6,0,-5.09334782679469,0
"AC.1-20","AC","S","Annual","E",2014,0,0,0.61,7,0,-5.09334782679469,0
"AC.1-20","AC","S","Annual","E",2015,7.94,7.94,99.39,8,100,5.0933478267947,1.5707963267949
"AC.1-3","AC","S","Annual","E",2007,0,0,0.61,0,0,-5.09334782679469,0
"AC.1-3","AC","S","Annual","E",2008,0,0,0.61,1,0,-5.09334782679469,0
"AC.1-3","AC","S","Annual","E",2009,0,0,0.61,2,0,-5.09334782679469,0
"AC.1-3","AC","S","Annual","E",2012,0,0,0.61,5,0,-5.09334782679469,0
"AC.1-3","AC","S","Annual","E",2013,1.06,1.06,99.39,6,100,5.0933478267947,1.5707963267949
"AC.1-3","AC","S","Annual","E",2014,0,8.29,0.61,7,0,-5.09334782679469,0
"AC.1-3","AC","S","Annual","E",2015,0,6.29,0.61,8,0,-5.09334782679469,0
"AC.1-4","AC","S","Annual","E",2007,3.02,267.35,1.13,0,1.13,-4.47158822318479,0.106502684129823
"AC.1-4","AC","S","Annual","E",2008,10.45,508.02,2.06,1,2.06,-3.86164906347268,0.144024401824677
"AC.1-4","AC","S","Annual","E",2009,17.59,253.53,6.94,2,6.94,-2.59594267189779,0.266585194169709
"AC.1-4","AC","S","Annual","E",2012,0,399.27,0.61,5,0,-5.09334782679469,0
"AC.1-4","AC","S","Annual","E",2013,0,388.01,0.61,6,0,-5.09334782679469,0
"AC.1-4","AC","S","Annual","E",2014,3.99,377.83,1.06,7,1.06,-4.53624469767559,0.103139064002471
"AC.1-4","AC","S","Annual","E",2015,4.21,272.24,1.55,8,1.55,-4.15129387415398,0.124822882620565
"AC.1-5","AC","S","Annual","E",2007,20.23,37.82,53.49,0,53.49,0.139827377307153,0.820326564741901
"AC.1-5","AC","S","Annual","E",2008,25.54,44.43,57.48,1,57.48,0.301462507737077,0.860480017293272
"AC.1-5","AC","S","Annual","E",2009,25.78,46.18,55.83,2,55.83,0.234265533713834,0.843831081733385
"AC.1-5","AC","S","Annual","E",2012,24.02,48.38,49.65,5,49.65,-0.0140002286733898,0.781898134813485
"AC.1-5","AC","S","Annual","E",2013,19.78,44.8,44.15,6,44.15,-0.235076598465241,0.726763866717187
"AC.1-5","AC","S","Annual","E",2014,22.53,49.45,45.56,7,45.56,-0.178069039204284,0.740939603104376
"AC.1-5","AC","S","Annual","E",2015,20.41,44.76,45.6,8,45.6,-0.176456437341557,0.741341175247589
"AC.1-6","AC","S","Annual","E",2008,3.65,176.89,2.06,1,2.06,-3.86164906347268,0.144024401824677
"AC.1-6","AC","S","Annual","E",2009,0,215.72,0.61,2,0,-5.09334782679469,0
"AC.1-6","AC","S","Annual","E",2012,6.82,178.26,3.83,5,3.83,-3.22325265553184,0.196975135584613
"AC.1-6","AC","S","Annual","E",2013,30.43,193.18,15.75,6,15.75,-1.67694820396083,0.408096313973179
"AC.1-6","AC","S","Annual","E",2015,2.89,197.53,1.46,8,1.46,-4.21202612139557,0.121126429194016
"AC.1-7","AC","S","Annual","E",2008,0,7.07,0.61,1,0,-5.09334782679469,0
"AC.1-7","AC","S","Annual","E",2009,3.13,5.53,56.6,2,56.6,0.265549544102778,0.851591345969938
"AC.1-7","AC","S","Annual","E",2012,2.93,8.38,34.96,5,34.96,-0.62079791445222,0.632632467097148
"AC.1-7","AC","S","Annual","E",2013,4.47,7.16,62.43,6,62.43,0.507840069487775,0.911015468727091
"AC.1-7","AC","S","Annual","E",2014,1.45,56.08,2.59,7,2.59,-3.62727099907142,0.161637694965727
"AC.1-7","AC","S","Annual","E",2015,2.27,13.76,16.5,8,16.5,-1.62148625095027,0.418293769670769
"AC.1-8","AC","S","Annual","E",2008,5.95,13.8,43.12,1,43.12,-0.276956858894244,0.716379185368693
"AC.1-8","AC","S","Annual","E",2009,4.23,13.22,32,2,32,-0.75377180237638,0.601264216679128
"AC.1-8","AC","S","Annual","E",2012,3.03,5.46,55.49,5,55.49,0.220488941310047,0.84040907896456
"AC.1-8","AC","S","Annual","E",2013,0,8.49,0.61,6,0,-5.09334782679469,0
"AC.1-8","AC","S","Annual","E",2014,3.34,7.39,45.2,7,45.2,-0.192593107115784,0.737324127944756
"AC.1-8","AC","S","Annual","E",2015,3.59,10.17,35.3,8,35.3,-0.605878237567604,0.63619360738506
"AC.1-9","AC","S","Annual","E",2008,59.1,118.01,50.08,1,50.08,0.00320000273067085,0.786198163738782
"AC.1-9","AC","S","Annual","E",2009,38,125,30.4,2,30.4,-0.828321958928198,0.583995871575592
"AC.1-9","AC","S","Annual","E",2012,75.31,145.71,51.68,5,51.68,0.0672253058477869,0.802201326092462
